1447|0|20230111125011|243818140560|243998104022|60|0|0
1448|1|20230114125011|243818140560|243822754536|0|0|0
1449|1|20230113125011|243818140560|243998104022|0|2|0
1441|0|20230214125011|243818140560|243998104022|63|2|0
1442|2|20230114125011|243818140560|||2|100
1451|2|20230314125011|243818140560|||2|1231
1452|2|20230114115011|243818140560|||2|26
1453|2|20230114125011|243818140560|||2|123
1454|2|20230114125011|243818140560|||2|1024
1455|1|20230114115011|243818140560|243822754536|0|2|0
1456|0|20230114135011|243818140560|243822754536|63|2|0
1457|1|20230114155011|243818140560|243998104022|0|2|0
1458|1|20230114165011|243818140560|243998104022|0|2|0
1459|1|20230114175011|243818140560|2438227545362|0|2|0
1460|2|20230214115011|243818140560|||2|1000
1461|1|20230214125011|243818140560|243998104022|0|2|0
1462|1|20230211124011|243818140560|243998104022|0|2|0
1463|1|20230114126011|243818140560|243822754536|0|2|0
1464|1|20230114129011|243818140560|243822754536|0|2|0
1466|1|20230114125011|243818140560|243998104022|0|2|0
1467|1|20230114125011|243818140560|243822754536|0|2|0
1468|2|20230114125011|243818140560|||2|12
1470|1|20230114125011|243818140560|243998104022|0|2|0
1471|0|20230114125011|243818140560|243998104022|63|2|0
1472|0|20230114125011|243818140560|243998104022|63|2|0
1473|0|20230114125011|243818140560|243998104022|63|2|0
1474|0|20230114125011|243818140560|243998104022|63|2|0
1475|1|20230114125011|243818140560|243998104022|0|2|0
1476|2|20230114125011|243818140560|||1|550
1477|2|20230114125011|243818140560|||0|234
1478|2|20230114125011|243818140560|||2|10
1479|2|20230114125011|243818140560|||2|12
1480|2|20230114125011|243818140560|||0|4
1481|2|20230114125011|243818140560|||0|50
1482|2|20230114125011|243818140560|||2|55
1483|2|20230114125011|243818140560|||2|123
1484|0|20230114125011|243818140560|243822754536|63|1|0
1485|0|20230114125011|243818140560|243822754536|63|1|0
1486|0|20230114125011|243818140560|243822754536|12|1|0
1487|1|20230114125011|243818140560|243822754536|0|1|0
1488|1|20230114125011|243818140560|243998104022|0|2|0
1489|1|20230114125011|243818140560|243998104022|0|2|0
1490|1|20230114125011|243818140560|243998104022|0|2|0
